species_name,assembly_accession
Abiotrophia_defectiva,GCF_013267415.1
Abiotrophia_sp_HMSC24B09,GCF_001815865.1
Acholeplasma_oculi,GCF_900444665.1
Achromobacter_xylosoxidans,GCF_016728825.1
Acidaminococcus_fermentans,GCF_000025305.1
Acidaminococcus_intestini,GCF_902381715.1
Acidipropionibacterium_acidipropionici,GCF_001441165.1
Acinetobacter_johnsonii,GCF_000368805.1
Acinetobacter_junii,GCF_018336855.1
Acinetobacter_lwoffii,GCF_019343495.1
Acinetobacter_ursingii,GCF_000369885.1
Actinomyces_graevenitzii,GCF_002871975.1
Actinomyces_johnsonii,GCF_006546835.1
Actinomyces_massiliensis,GCF_000269805.1
Actinomyces_naeslundii,GCF_016127855.1
Actinomyces_oris,GCF_016127955.1
Actinomyces_radicidentis,GCF_001553565.1
Actinomyces_viscosus,GCF_900637975.1
Actinotignum_schaalii,GCF_000724605.1
Actinotignum_timonense,GCF_002860725.1
Adlercreutzia_equolifaciens,GCF_000478885.1
Aeriscardovia_aeriphila,GCF_013408435.1
Aerococcus_christensenii,GCF_001543105.1
Aerococcus_urinaeequi,GCF_001518795.1
Aerococcus_viridans,GCF_001543285.1
Aeromonas_caviae,GCF_014169735.1
Aeromonas_dhakensis,GCF_020405345.1
Aeromonas_hydrophila,GCF_016026875.1
Aeromonas_media,GCF_020423125.1
Aeromonas_veronii,GCF_008693705.1
Agathobaculum_butyriciproducens,GCF_024125165.1
Aggregatibacter_aphrophilus,GCF_900636915.1
Aggregatibacter_segnis,GCF_900476035.1
Akkermansia_glycaniphila,GCF_900097105.1
Akkermansia_muciniphila,GCF_009731575.1
Alcaligenes_faecalis,GCF_000967305.2
Alistipes_finegoldii,GCF_027677115.1
Alistipes_indistinctus,GCF_014163495.1
Alistipes_inops,GCF_000786575.1
Alistipes_onderdonkii,GCF_006542645.1
Alistipes_putredinis,GCF_000154465.1
Alistipes_shahii,GCF_015558405.1
Alistipes_timonensis,GCF_900107675.1
Alkalilimnicola_ehrlichii,GCF_000014785.1
Alkaliphilus_oremlandii,GCF_000018325.1
Allisonella_histaminiformans,GCF_900103425.1
Alloprevotella_tannerae,GCF_000159995.1
Alloscardovia_omnicolens,GCF_002861485.1
Anaerobiospirillum_thomasii,GCF_900445255.1
Anaerococcus_hydrogenalis,GCF_002871895.1
Anaerococcus_lactolyticus,GCF_000758765.1
Anaerococcus_octavius,GCF_900445265.1
Anaerococcus_tetradius,GCF_947087635.1
Anaerococcus_vaginalis,GCF_016127475.1
Anaerofustis_stercorihominis,GCF_000154825.1
Anaeroglobus_geminatus,GCF_000239275.1
Anaerostipes_caccae,GCF_020181435.1
Anaerostipes_hadrus,GCF_000210695.1
Anaerotignum_lactatifermentans,GCF_014982935.1
Anaerotruncus_colihominis,GCF_023008305.1
Arcanobacterium_haemolyticum,GCF_900475915.1
Atlantibacter_hermannii,GCF_011068345.1
Atopobium_deltae,GCF_001552785.1
Atopobium_minutum,GCF_000364325.1
Bacillus_altitudinis,GCF_001191605.1
Bacillus_stratosphericus,GCF_020524495.1
Bacteroides_acidifaciens,GCF_910575425.1
Bacteroides_caccae,GCF_018292205.1
Bacteroides_caecimuris,GCF_001688725.2
Bacteroides_cellulosilyticus,GCF_018292125.1
Bacteroides_clarus,GCF_015555825.1
Bacteroides_eggerthii,GCF_016894205.1
Bacteroides_faecichinchillae,GCF_900129065.1
Bacteroides_faecis,GCF_020091505.1
Bacteroides_finegoldii,GCF_008571395.1
Bacteroides_fluxus,GCF_000195635.1
Bacteroides_fragilis,GCF_016889925.1
Bacteroides_heparinolyticus,GCF_002998535.1
Bacteroides_intestinalis,GCF_020341675.1
Bacteroides_koreensis,GCF_007341375.1
Bacteroides_nordii,GCF_019930665.1
Bacteroides_oleiciplenus,GCF_902374815.1
Bacteroides_ovatus,GCF_001314995.1
Bacteroides_pyogenes,GCF_008121405.1
Bacteroides_salyersiae,GCF_025914135.1
Bacteroides_stercorirosoris,GCF_900142015.1
Bacteroides_stercoris,GCF_000154525.1
Bacteroides_thetaiotaomicron,GCF_014131755.1
Bacteroides_uniformis,GCF_018292165.1
Bacteroides_xylanisolvens,GCF_018289135.1
Barnesiella_intestinihominis,GCF_000296465.1
Barnesiella_viscericola,GCF_000512915.1
Bifidobacterium_adolescentis,GCF_003030905.1
Bifidobacterium_angulatum,GCF_001025155.1
Bifidobacterium_animalis,GCF_000224965.2
Bifidobacterium_bifidum,GCF_000273525.1
Bifidobacterium_breve,GCF_001281425.1
Bifidobacterium_catenulatum,GCF_001025195.1
Bifidobacterium_dentium,GCF_000172135.1
Bifidobacterium_longum,GCF_000196555.1
Bifidobacterium_merycicum,GCF_900129045.1
Bifidobacterium_moukalabense,GCF_005405725.1
Bifidobacterium_pseudocatenulatum,GCF_020541885.1
Bifidobacterium_pseudolongum,GCF_002282915.1
Bifidobacterium_pullorum,GCF_014634885.1
Bifidobacterium_ruminantium,GCF_019042115.1
Bifidobacterium_scardovii,GCF_001042635.1
Bilophila_wadsworthia,GCF_000185705.2
Blautia_coccoides,GCF_900461125.1
Blautia_hansenii,GCF_002222595.2
Blautia_hydrogenotrophica,GCF_001404935.1
Blautia_obeum,GCF_025147765.1
Blautia_producta,GCF_010669205.1
Blautia_wexlerae,GCF_025148125.1
Brachybacterium_alimentarium,GCF_002332425.1
Brachyspira_pilosicoli,GCF_000143725.1
Brevibacterium_aurantiacum,GCF_003932995.1
Brevibacterium_iodinum,GCF_900445875.1
Brevibacterium_linens,GCF_003999335.1
Brevibacterium_paucivorans,GCF_016907735.1
Brochothrix_thermosphacta,GCF_001703515.1
Burkholderia_contaminans,GCF_004723625.1
Butyricicoccus_porcorum,GCF_002157465.1
Butyricicoccus_pullicaecorum,GCF_002160355.1
Butyricimonas_synergistica,GCF_000379665.1
Butyricimonas_virosa,GCF_016889065.1
Butyrivibrio_crossotus,GCF_902373805.1
Campylobacter_coli,GCF_009730395.1
Campylobacter_concisus,GCF_001298465.1
Campylobacter_gracilis,GCF_001190745.1
Campylobacter_hominis,GCF_000017585.1
Campylobacter_showae,GCF_004803815.1
Campylobacter_upsaliensis,GCF_916098265.1
Campylobacter_ureolyticus,GCF_013372225.1
Cardiobacterium_valvarum,GCF_900460955.1
Carnobacterium_divergens,GCF_001703555.1
Carnobacterium_maltaromaticum,GCF_004564725.1
Catenibacterium_mitsuokai,GCF_902362575.1
Cedecea_neteri,GCF_002393445.1
Cellulosilyticum_lentocellum,GCF_000178835.2
Cellulosimicrobium_cellulans,GCF_018128265.1
Cetobacterium_somerae,GCF_000479045.1
Chlamydia_ibidis,GCF_000454725.1
Christensenella_minuta,GCF_003628755.1
Citrobacter_amalonaticus,GCF_001558935.2
Citrobacter_braakii,GCF_009648935.1
Citrobacter_europaeus,GCF_003795375.1
Citrobacter_farmeri,GCF_003938205.1
Citrobacter_freundii,GCF_003812345.1
Citrobacter_koseri,GCF_000018045.1
Citrobacter_pasteurii,GCF_019047765.1
Citrobacter_portucalensis,GCF_008693605.1
Citrobacter_werkmanii,GCF_008693645.1
Citrobacter_youngae,GCF_900638065.1
Clavibacter_michiganensis,GCF_009739655.1
Cloacibacillus_porcorum,GCF_001701045.1
Cloacibacterium_normanense,GCF_003860565.1
Clostridioides_difficile,GCF_018885085.1
Clostridium_baratii,GCF_001991075.2
Clostridium_butyricum,GCF_001886875.1
Clostridium_cadaveris,GCF_020911725.1
Clostridium_celatum,GCF_021412605.1
Clostridium_disporicum,GCF_001405015.1
Clostridium_neonatale,GCF_900465025.1
Clostridium_paraputrificum,GCF_000424025.1
Clostridium_perfringens,GCF_020138775.1
Clostridium_sp_7_2_43FAA,GCF_000158375.2
Collinsella_aerofaciens,GCF_002736145.1
Collinsella_intestinalis,GCF_902501455.1
Comamonas_kerstersii,GCF_002056725.1
Coprobacillus_cateniformis,GCF_000269565.1
Coprobacter_fastidiosus,GCF_003634345.1
Coprobacter_secundus,GCF_015097275.1
Coprococcus_catus,GCF_019734885.1
Coprococcus_comes,GCF_016904155.1
Coprococcus_eutactus,GCF_020735705.1
Corynebacterium_accolens,GCF_023520795.1
Corynebacterium_amycolatum,GCF_016728725.1
Corynebacterium_argentoratense,GCF_000590555.1
Corynebacterium_atypicum,GCF_000732945.1
Corynebacterium_aurimucosum,GCF_000022905.1
Corynebacterium_casei,GCF_000550785.1
Corynebacterium_durum,GCF_000318135.1
Corynebacterium_frankenforstense,GCF_001941485.1
Corynebacterium_glutamicum,GCF_000404185.1
Corynebacterium_jeikeium,GCF_000006605.1
Corynebacterium_kroppenstedtii,GCF_000023145.1
Corynebacterium_matruchotii,GCF_000175375.1
Corynebacterium_oculi,GCF_001412105.1
Corynebacterium_variabile,GCF_006539825.1
Criibacterium_bergeronii,GCF_001693775.2
Cronobacter_malonaticus,GCF_001277215.2
Cronobacter_sakazakii,GCF_003516125.1
Cronobacter_turicensis,GCF_011605535.1
Cutibacterium_acnes,GCF_000376705.1
Cutibacterium_granulosum,GCF_900186975.1
Denitrobacterium_detoxificans,GCF_001643775.1
Desulfovibrio_fairfieldensis,GCF_001553605.1
Desulfovibrio_legallii,GCF_004309735.1
Desulfovibrio_piger,GCF_902373865.1
Desulfovibrio_sp_An276,GCF_002159665.1
Desulfovibrio_vulgaris,GCF_000015485.1
Dialister_invisus,GCF_000160055.1
Dialister_micraerophilus,GCF_947090205.1
Dialister_pneumosintes,GCF_003570845.1
Dialister_succinatiphilus,GCF_000242435.1
Dielma_fastidiosa,GCF_003475485.1
Dorea_formicigenerans,GCF_000169235.1
Dorea_longicatena,GCF_001404635.1
Eggerthella_lenta,GCF_021378605.1
Eggerthia_catenaformis,GCF_000340375.1
Eikenella_corrodens,GCF_900187105.1
Eisenbergiella_massiliensis,GCF_003435485.1
Eisenbergiella_tayi,GCF_001717125.1
Elizabethkingia_anophelis,GCF_002023665.2
Enhydrobacter_aerosaccus,GCF_900167455.1
Enorma_massiliensis,GCF_000311845.1
Ensifer_adhaerens,GCF_000697965.2
Enterobacter_bugandensis,GCF_015137655.1
Enterobacter_mori,GCF_022014715.1
Enterobacter_soli,GCF_000224675.1
Enterococcus_asini,GCF_000407365.1
Enterococcus_avium,GCF_002891025.1
Enterococcus_casseliflavus,GCF_000157355.2
Enterococcus_cecorum,GCF_900474605.1
Enterococcus_devriesei,GCF_018917555.1
Enterococcus_dispar,GCF_000406945.1
Enterococcus_durans,GCF_002277935.1
Enterococcus_faecalis,GCF_000393015.1
Enterococcus_faecium,GCF_009734005.1
Enterococcus_gallinarum,GCF_003320875.1
Enterococcus_gilvus,GCF_003343305.1
Enterococcus_hirae,GCF_002278015.2
Enterococcus_italicus,GCF_001885995.1
Enterococcus_malodoratus,GCF_027659535.1
Enterococcus_mundtii,GCF_002813755.1
Enterococcus_phoeniculicola,GCF_000394035.1
Enterococcus_pseudoavium,GCF_001544295.1
Enterococcus_raffinosus,GCF_019175485.1
Enterococcus_thailandicus,GCF_002290025.1
Erysipelothrix_larvae,GCF_001545095.1
Escherichia_albertii,GCF_016904755.1
Escherichia_fergusonii,GCF_020097475.1
Escherichia_marmotae,GCF_902709585.1
Eubacterium_callanderi,GCF_000152245.2
Eubacterium_coprostanoligenes,GCF_900167205.1
Eubacterium_limosum,GCF_000807675.2
Eubacterium_maltosivorans,GCF_002441855.2
Eubacterium_pyruvativorans,GCF_900102225.1
Eubacterium_ramulus,GCF_001406295.1
Eubacterium_rectale,GCF_022453685.1
Eubacterium_sp_An11,GCF_002161065.1
Eubacterium_ventriosum,GCF_003475105.1
Facklamia_hominis,GCF_000301035.1
Faecalibacterium_prausnitzii,GCF_000154385.1
Faecalicatena_orotica,GCF_003149245.1
Faecalicoccus_pleomorphus,GCF_900459315.1
Faecalitalea_cylindroides,GCF_028321995.1
Finegoldia_magna,GCF_002243135.1
Firmicutes_bacterium_CAG_83,GCF_000431575.1
Flavonifractor_plautii,GCF_010508875.1
Franconibacter_helveticus,GCF_003207695.1
Fretibacterium_fastidiosum,GCF_000210715.1
Fusicatenibacter_saccharivorans,GCF_027667425.1
Fusobacterium_gonidiaformans,GCF_003019695.1
Fusobacterium_hwasookii,GCF_001455085.1
Fusobacterium_mortiferum,GCF_003019315.1
Fusobacterium_necrogenes,GCF_900450765.1
Fusobacterium_necrophorum,GCF_003732525.1
Fusobacterium_nucleatum,GCF_003019295.1
Fusobacterium_periodonticum,GCF_000160475.1
Fusobacterium_ulcerans,GCF_003019675.1
Fusobacterium_varium,GCF_003019655.1
Gardnerella_vaginalis,GCF_002861965.1
Gemella_asaccharolytica,GCF_001553005.1
Gemella_haemolysans,GCF_900638055.1
Gemella_morbillorum,GCF_009730315.1
Gemella_sanguinis,GCF_009730295.1
Gemmiger_formicilis,GCF_902363055.1
Geobacillus_stearothermophilus,GCF_000705495.1
Gordonia_terrae,GCF_901542405.1
Gordonibacter_pamelaeae,GCF_003340385.1
Granulicatella_adiacens,GCF_019931005.1
Haemophilus_haemolyticus,GCF_900477945.1
Haemophilus_influenzae,GCF_000931575.1
Haemophilus_parahaemolyticus,GCF_016889385.1
Haemophilus_parainfluenzae,GCF_000191405.1
Haemophilus_paraphrohaemolyticus,GCF_900451065.1
Haemophilus_pittmaniae,GCF_900186995.1
Haemophilus_sputorum,GCF_000287615.1
Hafnia_alvei,GCF_011617105.1
Hafnia_paralvei,GCF_020150375.1
Helicobacter_bilis,GCF_000364285.1
Helicobacter_canis,GCF_008693005.1
Helicobacter_cinaedi,GCF_000284635.1
Helicobacter_pullorum,GCF_900450955.1
Helicobacter_pylori,GCF_017821535.1
Helicobacter_winghamensis,GCF_014931175.1
Holdemanella_biformis,GCF_003464225.1
Holdemania_filiformis,GCF_003459085.1
Hungatella_effluvii,GCF_003201875.1
Hungatella_hathewayi,GCF_009721605.1
Hydrogenibacillus_schlegelii,GCF_001653195.1
Intestinibacter_bartlettii,GCF_902362795.1
Intestinimonas_butyriciproducens,GCF_001940005.1
Jonquetella_anthropi,GCF_000161995.1
Kineothrix_alysoides,GCF_000732725.1
Klebsiella_aerogenes,GCF_007632255.1
Klebsiella_michiganensis,GCF_015139575.1
Klebsiella_oxytoca,GCF_003812925.1
Klebsiella_quasipneumoniae,GCF_016415705.1
Klebsiella_variicola,GCF_009648975.1
Kluyvera_ascorbata,GCF_023195735.1
Kluyvera_cryocrescens,GCF_026241935.1
Kluyvera_georgiana,GCF_001682915.1
Kluyvera_intermedia,GCF_009649915.1
Kosakonia_cowanii,GCF_025758125.1
Kosakonia_sacchari,GCF_001683395.1
Kytococcus_aerolatus,GCF_900187395.1
Lachnoanaerobaculum_saburreum,GCF_000185385.1
Lachnospira_pectinoschiza,GCF_900103815.1
Lactobacillus_acetotolerans,GCF_008831485.1
Lactobacillus_acidophilus,GCF_000389675.2
Lactobacillus_amylovorus,GCF_000194115.1
Lactobacillus_apis,GCF_003150935.1
Lactobacillus_crispatus,GCF_009769205.1
Lactobacillus_delbrueckii,GCF_001888925.1
Lactobacillus_equicursoris,GCF_001434815.1
Lactobacillus_gasseri,GCF_008868535.1
Lactobacillus_helveticus,GCF_022832545.1
Lactobacillus_iners,GCF_009556455.1
Lactobacillus_jensenii,GCF_001936235.1
Lactobacillus_johnsonii,GCF_000091405.1
Lactobacillus_kalixensis,GCF_001434335.1
Lactobacillus_kefiranofaciens,GCF_014656585.1
Lactobacillus_kullabergensis,GCF_003151025.1
Lactobacillus_paragasseri,GCF_005886075.1
Lactobacillus_ultunensis,GCF_016647595.1
Lactococcus_chungangensis,GCF_002441885.1
Lactococcus_garvieae,GCF_016026695.1
Lactococcus_lactis,GCF_020463755.1
Lactococcus_petauri,GCF_023499275.1
Lactococcus_piscium,GCF_002441695.1
Lactococcus_plantarum,GCF_001591745.1
Lactococcus_raffinolactis,GCF_002310475.1
