Taxon,subj1,Rhythmicity_s1,subj2,Rhythmicity_s2,Rhythmicity_Reit,Type,Observation
Butyrivibrio_,s1,yes1,s2,no2,NA,,species not specified
Dorea_,s1,yes1,s2,no2,NA,,species not specified
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;_;s__,s1,yes1,s2,no2,NA,,species not specified
Coprococcus_,s1,yes1,s2,no2,NA,,species not specified
Roseburia_,s1,yes1,s2,no2,NA,,species not specified
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;_;s__,s1,yes1,s2,no2,NA,,species not specified
[Ruminococcus]_,s1,yes1,s2,no2,NA,,species not specified
Blautia_,s1,no1,s2,no2,NA,,species not specified
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;_;s__,s1,no1,s2,yes2,NA,,species not specified
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;_;s__,s1,no1,s2,no2,NA,,species not specified
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];_;s__,s1,no1,s2,no2,NA,,species not specified
Clostridium_hiranonis,s1,no1,s2,no2,NA,2,
Lactococcus_garvieae,s1,no1,s2,no2,NA,2,
Lachnospira_,s1,no1,s2,yes2,NA,,species not specified
Anaerostipes_,s1,no1,s2,no2,NA,,species not specified
Faecalibacterium_prausnitzii,s1,no1,s2,no2,yes,3,
Lactococcus_,s1,no1,s2,no2,NA,,species not specified
Veillonella_parvula,s1,no1,s2,no2,NA,2,
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;_;s__,s1,no1,s2,no2,NA,,species not specified
Bacteroides_ovatus,s1,no1,s2,yes2,NA,3,
Parabacteroides_distasonis,s1,no1,s2,yes2,no,3,
Parvimonas_,s1,no1,s2,yes2,NA,,species not specified
k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__;_;s__,s1,no1,NA,NA,NA,,species not specified
Bacteroides_,s1,no1,s2,yes2,NA,,species not specified
Bacteroides_fragilis,s1,no1,s2,no2,no,2,
SMB53_,s1,no1,s2,no2,NA,,species not specified
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;_;s__,s1,no1,s2,no2,NA,,species not specified
