taxa,min_abRel,mean_abRel,max_abRel,sd,var,prevalencia,perc_prev,Abundance_rank,prevalence_rank
Methanobrevibacter_arboriphilus,0,1.454556856187291e-4,0.42182,0.009445899704129146,8.922410697576192e-5,3,0.06272214091574327,553,735.5
Methanobrevibacter_oralis,0,1.7921613712374584e-4,0.85684,0.017513904159850307,3.0673423122046456e-4,2,0.0418147606104955,540,787
Methanobrevibacter_smithii,0,0.8697819324645185,59.28019,2.833902133720189,8.03011918440004,1898,39.68220781936023,31,85
Methanobrevibacter_sp_AbM4,0,7.190635451505016e-7,0.00344,7.031398200049995e-5,4.944014046046998e-9,1,0.02090738030524775,900,899.5
Methanobrevibacter_woesei,0,0.0014449853678929765,5.55709,0.11525989853639584,0.013284719566079819,2,0.0418147606104955,370,787
Methanosphaera_cuniculi,0,0.002570140050167224,3.13109,0.07469568738825186,0.005579347033831324,26,0.5435918879364416,331,486
Methanosphaera_sp_SHI1033,0,5.035117056856187e-5,0.15964,0.003467607171594679,1.2024179179197811e-5,2,0.0418147606104955,626,787
Methanosphaera_stadtmanae,0,0.04407051055602007,5.70206,0.28610555607652377,0.0818514041755887,343,7.17123144469998,152,227
Candidatus_Methanomethylophilus_sp_1R26,0,2.3308110367892978e-4,0.6132,0.01329555715197867,1.7676985334177153e-4,4,0.083629521220991,525,695.5
Candidatus_Methanomassiliicoccus_intestinalis,0,0.007445692028985507,3.71737,0.12015486489928136,0.014436792355858631,61,1.275350198620113,256,392
Methanomassiliicoccales_archaeon_RumEn_M1,0,1.0514214046822742e-6,0.00503,1.0281375856468452e-4,1.0570579111819775e-8,1,0.02090738030524775,883,899.5
Actinobaculum_sp_oral_taxon_183,0,4.3096676421404683e-4,0.28225,0.006763128305810541,4.5738568476899867e-05,163,3.4079029897553834,472,291.5
Actinomyces_cardiffensis,0,4.236204013377927e-5,0.0604,0.001543965891883866,2.383795741122135e-6,15,0.3136107045787163,642,548.5
Actinomyces_europaeus,0,1.1751672240802676e-5,0.05459,0.0011160674275373184,1.2455957632930257e-6,2,0.0418147606104955,729,787
Actinomyces_georgiae,0,7.107023411371237e-7,0.00226,4.7829602673280895e-5,2.2876474489407874e-9,3,0.06272214091574327,901,735.5
Actinomyces_graevenitzii,0,9.982331414056958e-4,0.16408,0.007329379379112097,5.371686121870463e-5,318,6.648546937068785,401,233
Actinomyces_hongkongensis,0,1.536371237458194e-6,0.00295,7.230006700388757e-5,5.227235410282142e-9,4,0.083629521220991,866,695.5
Actinomyces_johnsonii,0,2.1158653846153845e-4,0.1224,0.003520910277160626,1.2396471577851487e-5,81,1.693497804725068,532,360
Actinomyces_massiliensis,0,1.1873536789297659e-4,0.03585,0.0014110779326083735,1.991069770700095e-6,79,1.6516830441145725,569,364.5
Actinomyces_meyeri,0,2.920150501672241e-6,0.01073,2.2425350658278171e-4,5.0289154990358887e-8,2,0.0418147606104955,817,787
Actinomyces_naeslundii,0,8.465469969342252e-4,0.20609,0.006937479972803413,4.8126213543368846e-5,300,6.272214091574326,418,236
Actinomyces_odontolyticus,0,0.003888036336399108,0.57239,0.018780383329373342,3.5267469723782746e-4,1132,23.667154505540456,299,127
Actinomyces_oris,0,0.0024210676212374584,0.28287,0.01207055221703307,1.4568700384201867e-4,686,14.34246288939996,334,166
Actinomyces_radicidentis,0,3.135660535117057e-5,0.08767,0.001864914615902814,3.4778681888725083e-6,6,0.12544428183148654,666,648.5
Actinomyces_sp_HMSC035G02,0,0.001328123780657748,0.15896,0.007725794972889905,5.968389907954395e-5,578,12.084465816433202,377,181
Actinomyces_sp_HPA0247,0,0.001266573125696767,0.26287,0.00988471678099511,9.77025297905151e-5,391,8.17478569935187,381,215
Actinomyces_sp_ICM47,0,0.004749985890468228,2.93366,0.0622298765461152,0.0038724239634404067,1046,21.869119799289148,287,133
Actinomyces_sp_oral_taxon_170,0,1.0019648829431438e-4,0.06243,0.0018716943121796666,3.503153586309952e-6,46,0.9617394940413967,583,427.5
Actinomyces_sp_oral_taxon_180,0,1.1670150501672241e-5,0.01189,3.288355678414024e-4,1.0813092349093954e-7,15,0.3136107045787163,731,548.5
Actinomyces_sp_oral_taxon_181,0,3.028867056856187e-4,0.08961,0.0029356185950473305,8.617483382105856e-6,211,4.411457244407275,503,263.5
Actinomyces_sp_oral_taxon_414,0,1.0876463210702341e-4,0.13434,0.0032052495476729338,1.0273444913989317e-5,35,0.7317583106836713,576,461
Actinomyces_sp_oral_taxon_448,0,8.534265259197325e-4,0.2595,0.009066322527248146,8.219493521350277e-5,226,4.725067948985992,416,258
Actinomyces_sp_oral_taxon_897,0,1.8543060200668894e-5,0.0387,8.543648853116015e-4,7.299299695362877e-7,11,0.2299811833577253,698,588
Actinomyces_sp_S6_Spd3,0,1.6619582636566332e-4,0.18964,0.004221107492452316,1.7817393614985402e-5,140,2.927033242734685,546,307
Actinomyces_turicensis,0,0.006778731814381271,6.49973,0.17216861841436668,0.029641460506253152,211,4.411457244407275,263,263.5
Actinomyces_viscosus,0,5.7324414715719064e-5,0.03324,0.0010373053111881793,1.0759752759334809e-6,47,0.9826468743466444,611,422
Actinotignum_schaalii,0,2.1049331103678927e-6,0.00733,1.549612346559132e-4,2.4012750553134585e-8,2,0.0418147606104955,839,787
Actinotignum_timonense,0,3.146070234113712e-4,1.4848,0.030350437264726478,9.21141161069846e-4,3,0.06272214091574327,500,735.5
Arcanobacterium_haemolyticum,0,1.5865384615384616e-6,0.00759,1.5514044284412634e-4,2.40683524511628e-8,1,0.02090738030524775,865,899.5
Mobiluncus_curtisii,0,2.300376254180602e-5,0.04943,0.0011522575699276117,1.3276816375387572e-6,4,0.083629521220991,685,695.5
Trueperella_bernardiae,0,3.681020066889632e-6,0.0165,3.3763853779225715e-4,1.1399878235749485e-7,2,0.0418147606104955,804,787
Varibaculum_cambriense,0,2.3358904682274246e-4,0.1991,0.005330598995614959,2.8414687455965705e-5,37,0.7735730712941669,524,453.5
Aeriscardovia_aeriphila,0,0.0033061137444982554,0.15306,0.009488173138167608,9.001452240241727e-5,1291,26.99142797407485,310,116
Alloscardovia_omnicolens,0,7.599353748606465e-4,0.37579,0.01096487420028252,1.2022476746374339e-4,137,2.864311101818942,424,311
Bifidobacterium_adolescentis,0,3.756358460383958,67.4055,6.9666564457462234,48.52629625896474,3643,76.16558645201756,6,35
Bifidobacterium_angulatum,0,0.19406229567307692,39.26842,1.3980048924663047,1.9543080197995342,475,9.931005644992682,76,197.5
Bifidobacterium_animalis,0,0.117935594446767,17.00264,0.7311865066159915,0.5345996603905926,867,18.1266987246498,97,142
Bifidobacterium_bifidum,0,0.46609356993798773,22.02027,1.4303123481096738,2.045558366649406,1417,29.625757892536065,45,106
Bifidobacterium_breve,0,0.011023372630992196,17.13188,0.3998001673945792,0.1598377725735628,139,2.9061258624294375,238,308.5
Bifidobacterium_catenulatum,0,0.22536132458393057,32.77968,1.4136169751445997,1.9981870076225932,1113,23.269914279740746,71,128
Bifidobacterium_dentium,0,0.014072136602980354,6.32244,0.19637839034818244,0.03856325727748029,447,9.345598996445744,222,203
Bifidobacterium_gallinarum,0,2.758761845039019e-4,0.67383,0.014646245158120772,2.145099748140375e-4,22,0.4599623667154506,510,504
Bifidobacterium_kashiwanohense,0,0.010916122491638796,19.26268,0.4422661206065043,0.19559659918566127,29,0.6063140288521849,239,477.5
Bifidobacterium_longum,0,1.9198416723041452,35.54819,3.3705882631351467,11.358926883407394,4068,85.05122308174786,13,24
Bifidobacterium_merycicum,0,9.123202341137124e-4,1.79519,0.04565402753854337,0.002084265932964724,7,0.14635166213673428,414,633.5
Bifidobacterium_moukalabense,0,2.278428093645485e-7,0.00109,2.227972104085609e-5,4.963817509556212e-10,1,0.02090738030524775,953,899.5
Bifidobacterium_pseudocatenulatum,0,0.3627979413098224,37.32336,1.728708222038433,2.988193056390801,1733,36.23249006899435,54,92.5
Bifidobacterium_pseudolongum,0,6.354563127090301e-4,1.0805,0.02496905841907949,6.234450231402902e-4,20,0.41814760610495505,437,517
Bifidobacterium_pullorum,0,9.738181089743589e-4,1.35603,0.03250684376688287,0.0010566781046259187,34,0.7108509303784235,403,465
Bifidobacterium_ruminantium,0,0.0062389820234113715,2.99911,0.10584193422102553,0.011202220849601882,39,0.8153878319046624,268,447
Bifidobacterium_saeculare,0,5.168626323857302e-4,1.82166,0.037730734909269384,0.0014235943167735647,18,0.3763328454944595,459,531.5
Bifidobacterium_scardovii,0,7.505309364548495e-4,1.46523,0.033291336797930685,0.0011082985953527345,14,0.29270332427346857,427,556
Gardnerella_vaginalis,0,0.002021340405518395,2.47454,0.06778973096499141,0.004595376888234015,76,1.5889609031988292,343,368.5
Parascardovia_denticolens,0,1.1798860785953176e-4,0.21369,0.004843421391150272,2.3458406213140905e-5,26,0.5435918879364416,570,486
Scardovia_inopinata,0,8.570234113712375e-7,0.0041,8.380445529129356e-5,7.023127037761125e-9,1,0.02090738030524775,897,899.5
Scardovia_wiggsiae,0,2.533744425863991e-4,0.19976,0.004947234348665705,2.4474534946376807e-5,83,1.7353125653355634,522,356
Corynebacterium_accolens,0,5.846571906354515e-6,0.01592,3.596596364472232e-4,1.293536878262338e-7,3,0.06272214091574327,770,735.5
Corynebacterium_amycolatum,0,1.817809364548495e-4,0.41683,0.008821246040928198,7.781340261859119e-5,16,0.334518084883964,539,542.5
Corynebacterium_argentoratense,0,2.311369495540691e-4,0.33841,0.007706993839571117,5.939679870077809e-5,36,0.752665690988919,527,458.5
Corynebacterium_atypicum,0,3.1957775919732445e-4,1.52886,0.031250068174791965,9.765584612488037e-4,1,0.02090738030524775,498,899.5
Corynebacterium_aurimucosum,0,3.2420568561872914e-5,0.13314,0.002730668957890878,7.45648467271052e-6,3,0.06272214091574327,662,735.5
Corynebacterium_casei,0,1.551839464882943e-5,0.02298,5.747644177226212e-4,3.303493289359782e-7,9,0.18816642274722975,707,606
Corynebacterium_durum,0,1.2382734113712375e-4,0.03897,0.0015002866219900937,2.2507807819164187e-6,88,1.8398494668618024,566,351
Corynebacterium_frankenforstense,0,9.11371237458194e-7,0.00436,8.911888416342436e-5,7.94210801528994e-9,1,0.02090738030524775,892,899.5
